Customer ID,Recency,Frequency,Monetary,Cluster,Segment
12346,326,12,77556.46,2,Loyal Customers
12347,2,8,4921.53,2,Loyal Customers
12348,75,5,2019.4,2,Loyal Customers
12349,19,4,4428.69,2,Loyal Customers
12350,310,1,334.4,4,Dormant Customers
12351,375,1,300.93,4,Dormant Customers
12352,36,10,2849.84,2,Loyal Customers
12353,204,2,406.76,4,Dormant Customers
12354,232,1,1079.4,1,At-Risk Customers
12355,214,2,947.61,1,At-Risk Customers
12356,23,6,6371.73,2,Loyal Customers
12357,33,3,18287.66,2,Loyal Customers
12358,2,5,3887.07,2,Loyal Customers
12359,58,10,8873.39,2,Loyal Customers
12360,52,8,4252.89,2,Loyal Customers
12361,287,4,511.25,1,At-Risk Customers
12362,3,11,5356.23,0,Champions
12363,110,2,552.0,1,At-Risk Customers
12364,8,4,1313.1,3,New / Developing Customers
12365,291,2,641.38,1,At-Risk Customers
12366,634,1,500.24,4,Dormant Customers
12367,4,1,168.9,3,New / Developing Customers
12368,628,1,917.6999999999999,4,Dormant Customers
12369,413,3,1791.15,1,At-Risk Customers
12370,51,7,4316.56,2,Loyal Customers
12371,45,5,4067.38,2,Loyal Customers
12372,72,3,1298.04,1,At-Risk Customers
12373,311,3,1127.65,1,At-Risk Customers
12374,25,4,2989.2200000000003,2,Loyal Customers
12375,11,2,457.5,3,New / Developing Customers
12376,390,2,503.15,4,Dormant Customers
12377,315,4,3426.32,1,At-Risk Customers
12378,130,2,5416.32,1,At-Risk Customers
12379,82,4,1620.22,1,At-Risk Customers
12380,22,11,9676.300000000001,2,Loyal Customers
12381,5,5,1845.31,2,Loyal Customers
12383,185,5,1850.56,1,At-Risk Customers
12384,29,2,585.27,3,New / Developing Customers
12385,379,1,1938.4,1,At-Risk Customers
12386,338,2,401.9,4,Dormant Customers
12387,415,1,143.94,4,Dormant Customers
12388,16,8,3901.11,2,Loyal Customers
12389,403,3,1433.33,1,At-Risk Customers
12390,80,1,549.84,3,New / Developing Customers
12391,22,6,2724.84,2,Loyal Customers
12392,591,1,234.75000000000003,4,Dormant Customers
12393,72,6,2399.4500000000003,2,Loyal Customers
12394,64,2,1272.48,3,New / Developing Customers
12395,19,15,4721.17,2,Loyal Customers
12396,674,1,931.43,4,Dormant Customers
12397,36,2,2409.9,3,New / Developing Customers
12398,46,1,1635.6599999999999,3,New / Developing Customers
12399,119,7,1962.3,2,Loyal Customers
12400,414,1,205.25,4,Dormant Customers
12401,303,1,84.3,4,Dormant Customers
12402,323,6,1256.9,1,At-Risk Customers
12403,50,2,1019.36,3,New / Developing Customers
12404,682,1,63.24,4,Dormant Customers
12405,149,1,1710.39,1,At-Risk Customers
12406,22,5,6390.36,2,Loyal Customers
12407,50,5,1708.1200000000001,2,Loyal Customers
12408,33,8,4340.7699999999995,2,Loyal Customers
12409,79,7,23419.29,2,Loyal Customers
12410,309,3,1013.71,1,At-Risk Customers
12411,410,1,346.9,4,Dormant Customers
12412,75,6,2596.93,2,Loyal Customers
